text,target
"@VladaRH Isti uvjet? Prije neka 2tj smo dobili odgovor da više nema sredstava, a sad ste ažurirali tablicu da je preostalo još 600 000kn?
",Neg
"@minpo_hr @VladaRH Ovakva tvrtka po vama ne zaslužuje poticaj na Poduzetničkom impulsu. Sramota! http://t.co/6KP9gPaQj4
",Neg
"Totalno istina ""@barbaraslade: Tužno je vidjeti bivše ljubavi kako se osuđuju. Nijedna ljubav ne bi trebala završiti na sudu.""
",Neg
"Neću čitati vijesti!
",Neg
"@VladaRH Područna služba je rekla da pitamo vas da ne znaju zašto nema novca. Bitno da se zove da potičete zapošljavanje jel... @hzz_hr
",Neg
"@VladaRH Ovi ljudi su već kod nas nekoliko mjeseci, ne radi se o novim zapošljavanjima uz poticaj. Razumijete?
",Neg
"Zbog duga od 800.000 kuna Porezna uprava zatvara hotel 'Libra' u Senju http://t.co/1dZIeVy7MK #Senj #Porezna #dug #inspekcija #turizam
",Neg
"Slavko Linić: Hrvatska sljedeće tri, četiri godine neće moći aplicirati za ulazak u eurozonu http://t.co/L34HcgC7je
",Neg
"Turska: Bivši vojni zapovjednik osuđen na DOŽIVOTNI ZATVOR zbog pokušaja rušenja Vlade - Dnevnik.hr http://t.co/Y2eVVTCO4E #Turska
",Neg
"Sirija: UN izlazi na teren, Assad poručio SAD-u: 'Sjetite se Vijetnama' http://t.co/alVoGj9HMk  #sirija
",Neg
"Ratno stanje u Kijevu: Više od 20 ubijenih, Janukovič poručio oporbi da je 'prešla crtu' http://t.co/q5G3wAHJle #Ukrajina #Kijev #prosvjedi
",Neg
"Suđe. Isusa mi Nazarećanina, jedan dan ću sve to uzet i samo bacit kroz prozor.
",Neg
"@peckinpahden to što smo večeras konstatirali da niste lideri ni u ovakvoj krnjoj regiji, to i emocije ostavi postrance i prepusti se. pozz
",Neg
"ne volim kad me traže potpis. ta neka dva slova poslije kojih više ne možeš reć da si se zajebavao. ukidanje životne undo opcije. stravično.
",Neg
"@kovachela ma odustajem. umjesto da se izbombardiraju tamo i trabunjaju gluposti oni smaraju s nekim slovenskim zakonskim regulativama, nezz
",Neg
"#Zaprešić: Vlak je naletio na biciklista, preminuo na mjestu http://t.co/Oh6aYLG9BX
",Neg
"Suđenje Sanaderu kasnilo pola sata zbog prometnog kaosa http://t.co/MFwQ8ywBzO
",Neg
"Stigla gripa: Potvrđen je prvi slučaj zaraze virusom tipa B http://t.co/vf7Hh5QMmm
",Neg
"#Milošević: U Gruborima smo pronašli i masakrirane žrtve http://t.co/7n9zS5gRzY
",Neg
"Šefica Yahooa: Žao nam je što smo vas razočarali ovaj tjedan http://t.co/L0UHufhsqq
",Neg
"Ubojstvo u Tuzli: Ubio ženu na ulici pred očima njihova sina http://t.co/KEUu4ij3la
",Neg
"@MajaBakota nemam riječi...jednostavno se svi moramo baciti u ribiće ili neznam šta da bi opstali.. ovoje strašno
",Neg
"Ljubav je bol ipak nije samo stilska figura, nego istina ... Ljubav stvarno može boljeti, http://t.co/P7N9UWA6uB
",Neg
"@zajebanimachor ti nisi zajebani nego nedojebani mačor, sudeći po slikama koje postavljaš.
",Neg
"""Bila je čudna atmosfera u pojedinim trenucima, jer smo gubili. Bili smo na petama danas, ali ćemo biti prvi već u... http://t.co/0wLDMeoh6q
",Neg
"""Trenutno nemamo baš toliko opcija jer smo puni igrača sa povredama. Thea smo izgubili do kraja, Chamberlain se... http://t.co/sNKNe3TgUG
",Neg
"Ana- Maria, kad položiš, kuda ćeš nas voziti? u pm ako hoćeš, mrš, kanite me se svi
",Neg
"Evo kažu m da će kiša sutra, a ja planirala na more. NEĆU SE TAKO IGRATI
",Neg
"ne razumijem ovaj #SuperBowl inače kad zabiješ 5 golova to je sigurna pobjeda.osim ako nije rukomet, ili vaterpolo, dobro i koševi u košarci
",Neg
"mater čita sastojke za kolač: ""2 jaja, 100 g šećera, 200 g brašna, 1 gusnel... Ma jebo vas gusnel!""
",Neg
"Ono kad netko preblizu drži mikrofon.. odzvanja mi u glavi.
",Neg
"Pitam se hoće li doći dan kada ćemo telekomima plaćati točno onoliko koliko je potrošeno internet prometa. #wishfullthinking
",Neg
"U danasnje vrijeme ih je dosta iz Puderlanda! http://t.co/N1dNTQcaLz
",Neg
"prije 3 dana sam s tolko loše odrezo nokte da sam ih danas moro opet rezat
",Neg
"kad god pijem neš u društvu sam zbunjen i ne znam di treba gledat? u čašu? zažmirit? u nekog ko priča? nemam pojma...
",Neg
"gledam si slike od prije tri godine i brijem si kak sam prije bio ružan, a sad prejeben. oću li isto tak za 3 godine brijat da sam sad ružan
",Neg
"Niti u posljednjem europskom ovosezonskom susretu Dinamo nije uspio stići do pobjede! http://t.co/8a7MSn8MSr http://t.co/cSBpU3TtyG
",Neg
"čini mi se da se na startupovima nalaze klinci koji hoće brzu lovu s investitorima koji hoće brz i visok povrat, dal to može tako?
",Neg
"čemu to ukidanje komentara čitatelja, nek se vidi raskoš talenata, nek se vide ta govanca, jer smrdit će i gore pokrivena
",Neg
"@VladaRH taj su put počistili manje više sve po kvartu, neovisno cijeni. Loš je osjećaj kad ti tako zadru u privatnost...
",Neg
"Ljudi se na plažama kupaju a mi, novinarska stoka, radimo i debelim gastarbajterima odgovaramo na pitanja tipa tkosti i štatuslikaš.
",Neg
"@FrankaOreb Šta znaju budale. Mantija je mantija, popovska, sudačka. Glupani. Imaš para a nemoš dat poklon za dobar bj. Fuj
",Neg
"@FrankaOreb Pa gledaš pogrešne vijesti. Upali TVBiH
",Neg
"Kad čujem reklamu Teleta 2 ""i ovce i novce"", zapravo čujem ""Ovce, dajte vamo novce"".
",Neg
"@Ivanab04 Njušku na Newsbar kao kreten godine da ga svugdje sprdaju dok se sam ne baci s nekog mosta.
",Neg
"Osim ž kraj ENTER na kompu koji me nervira, lud sam i od pucanja točke ili ž umjesto http://t.co/tvtX2nFaZX.mi.tvitovižizgledaju.debilno.
",Neg
"svi o nekim leptirima.. a ponašate se prema njima surovo i grubo. leptir je nježna životinja. a vi svinje .. pa nisu leptiri za svakoga.. :/
",Neg
"@hvo102 naravno, zato nam jadni Marko čami po zatvoru i psih.bolinici... prefffuj
",Neg
"U Hrvatskoj se šverca i sprema bikova. Inovativno. Mašta i lopovluk u Hrvatskoj nemaju granice...
",Neg
"Predstojeći izbori za EU parlament izgledaju kao natjecanje tko će ostaviti hr crkavicu od 30k kuna i uzeti bingo u eu parlamentu
",Neg
"Cijene cigareta od danas veće za 1 kn!
",Neg
"Ako podižemo gotovinu na bankomatu banke u kojoj nemamo račun, naknade su jako visoke http://t.co/KL0Re3FKAy
",Neg
"#postreferendum DDOS napad na gay.hr stranice.  dobrodosli u novu hrvatsku.
",Neg
"@amystiqa ja isto odustala od takve prijateljice, vise uopce ne zovem
",Neg
"ne radite ovo kod kuće, ponavljamo ne radite ovo kod kuće....ako baš želite to raditi, onda provjerite barem da... http://t.co/jfj7lQyIXR
",Neg
"Novi udarac za Real Madrid: Prvo mjesto je sve dalje | http://t.co/knWks41feZ http://t.co/y2OXX8rGd6 http://t.co/r8sUV0IJRg
",Neg
"SVEMIRSKA BESPUĆA Satelit GOCE ostao bez goriva, uskoro će pasti Europski satelit GOCE koji je posljednje četiri... http://t.co/CKBDZP7ovx
",Neg
"Prisjetimo se sada naših klubova i toga da nijedan nije dogurao daleko.
",Neg
"@i_milek ma! najavili su i za sljedeći vikend #fail
",Neg
"@stefijl @myrthica @schokac tj. Markićka kaže ""Donošenje istih prava u istospolnu zajednicu kao u braku bilo bi izigravanje rezultata ref.""
",Neg
"pokušavam shvatiti koji su to motivi ljudi koji lajkaju na fb vijesti o prometnim nesrećama sa smrtnim ishodima
",Neg
"Ako neznaš hodat u štiklama, onda trpi i pati a ne nosit ih u ruci! #seljanka
",Neg
"""A iznad svega vladar se mora suzdržati od toga da dira nečije vlasništvo jer će ljudi lakše preboljeti smrt oca nego gubitak očevine"" N.M.
",Neg
"Kravo, debela si i masna jer se voziš jedan kat liftom s Fantom u ruci. ZATO si debela i ne žali se!
",Neg
"@kresoz recimo da smo kolege, ali jako teško prihvaća kritiku na svoj roman
",Neg
"Koliko je ova država u banani, da razmišljam otići u Afriku u potrazi za boljim životom. #boljaHrvatska
",Neg
"Opet ""namještanja"" u Italiji. Fudbalski savez Italije suspendovao je danas golmana Torina, Jean-François Gillet,... http://t.co/VBZwyM6uiq
",Neg
"@MattMarenic @UniverseCEO ne mogu naći čarape koje mi pašu!
",Neg
"@nmotika ajde reci nesposobne. Ne moraš baš vrijeđati žene.
",Neg
"Želim da se zna da je @allixsenos jedan običan sadista. Sitnog zuba.....sitog sitnog zuba...
",Neg
"Stare ljude bolje ne pitat da kako su. Neš se nikad izvuć od priče.
",Neg
"Uff u danasnjem moru losih osobnih i drustvenih pokazatelja ova vijest da krecu sankciju zbog zastite Udbasa je lagani melem na sve rane.
",Neg
"Ono kad u šahu jedva znaš pravila a cpu ne mož pobjedit ni na najlakšem nivou.
",Neg
"@Ante_Mufc da su oni stvarno htjeli nekog dovest napravili bi to i prije priprema jer su ozbiljan klub, ovo je sve medijsko sranje
",Neg
"Zamisli sudbine klete, načekaš se žedan u redovima da bi popio Skaj kolu ili Žuju
",Neg
"Ocekujem najmanje Pulitzera za onog koji isto ovo bude radio za Anu Rucner
",Neg
"@ruzina @Sampjer zato šta drugaricama dere kožu financijski a ne na način prikladan regionu kakav drugarice najviše vole, zato i jest sam
",Neg
"@PeshaAnec u vojsci je jedna od legendarnih kazni bila ""guranje zgrade"", možda je ovaj civilka tip pa ima grižnju savjesti šta nije služio
",Neg
"znaci hamedova ideja da na sljedecim izborima svi novi kandidati, a koji bi to kandidati bili?
",Neg
"@patkica20 đabe ti je sve ako nije ježić
",Neg
"I dalje ne kapiram znacenje takvih stvari jer ne pijem kafu i kad popijem ne otvori mi se nikad.. No me Lana nagovori
",Neg
"nisu navijači Timbersa jedino koji se danas isfuravaju na bradate drvosječe. pogledajte Scott McCaugheya, Horse Feathers, Blind Pilot..
",Neg
"zajebali smo Slovence, oni su sebi naštimali zadnji meč svih grupa da mogu birat protivnika, a sad idu na FRA. to im je mislim zadnji izbor
",Neg
"Osuđujemo vandalski čin, bacanje molotovljevog koktela na zgradu srpskog konzulata u Rijeci
",Neg
"@Obi_Rijecki Pogledajte zagadjeno nebo nad Rijekom, nas grad nije prijatelj cistog okolista. Vatromet povodom svega i svacega. Primitivizam.
",Neg
"Znaci sutra glasamo, a onda nazivamo 060 telefone za razminiravanje, nabavku aparata za lijecenje djece, za darove djeci u domovima...
",Neg
"Na one koji me ovim putem pokušavaju vrijeđati ili omalovažiti i preko mene liječiti neke svoje osobne frustracije neću obraćati pozornost.
",Neg
"Skupe studije s uopćenim zaključcima neće pomoći ni približno onoliko koliko bi pomoglo da se novac doista uloži u borbu protiv korupcije.
",Neg
"Sada vladajući i njima bliski mediji guraju posve drugu priču, a izručenje Perkovića pokušavaju prikazati kao ugrozu za državnu sigurnost.
",Neg
"Totalno sam patetična danas. To je zbog ove kiše. A i može mi se.
",Neg
"Ona se boji da se muha ne posere na pizzu pa ju je stavila u frizider. I sad je ta pizza odvratna. Taman za muhu.
",Neg
"#onokad ljudi vade krastavce iz tegle tako da usput i operu ruke u octu. Bljuv.
",Neg
"Slusam ove tamburase i svadbene pjesmuljke i nije mi jasno kako itko mladji od 50 moze na to plesat?
",Neg
"Evo sta se desi kad se preseravas da se uspjesno svercas godinama. Zet te spusti na zemlju kad tad. Gnjev. http://t.co/ukx7WgkEYu
",Neg
"Mene više muči od toga što Štimac uništava ugled reprezentacije to što Ćosić figurira kao najbolji sportski... http://t.co/bhdOtA7fKR
",Neg
"Pogledajte koga je sve Vidošević ulovio (osim dinosaura na mojoj naslovnoj slici fan pagea) kako bi postao... http://t.co/dxjBzNtdDX
",Neg
"@Kjukar ja sam rekao jasno NE zatvaranju kisobranara obucara i bacvara.
",Neg
"@Kjukar kad se Gulas makne od vaseg pogleda naraste na 12metara i terorozira susjedno mjesto.
",Neg
"Otvoren je novi broj HELP telefona: Prijavi lazljivog poreznika. - iznajmite opremu za snimanje poreznika koji glume, kradu, varaju.
",Neg
"Obama se uz Karamarka, Sanadera, Nadana, Kalmetu upisao u ""Klub onih koji ništa ne znaju"".
",Neg
"@hrvatskitelekom DSL mi ne radi od petka u 18h i kvar još nije otklonjen. I nitko ne može reći kad će proraditi. Očajna usluga.
",Neg
"Baš su se izblamirali oni koji su tvrdili da 64 bitni procesor na 5S ne donosi ništa značajno, 'osim podrške za više memorije'.
",Neg
"Grlo me boli, danas na fešti samo jedem, ništa od pjevanja.
",Neg
"Jalni ljudi su najgore moguće okruženje. Previše negativnosti. Takvima svi i sve smeta.
",Neg
"Jedini popravni u životu, znao sam da će me jezik koštati kad tad.
",Neg
"Kad ti vidiš nešto zanimljivo i želiš to brzo uslikat, baš onda kameri na mobu treba najduže da se otvori.
",Neg
"Jučer slanje slika mora, zafrkavanje ekipe u Zg-u, danas pak u Makarskoj kiša pada k'o iz kabla. Karma.
",Neg
"A ja sam sad izgubio tjedan dana treninga, mogao sam izgubiti samo tri, četiri.
",Neg
"Inače, Samsung je obiteljska kompanija, a vlasnici su završavali u zatvoru čak i u Koreji zbog podmićivanja i ostalih rabota.
",Neg
"@zli_podstanar @utikejt Pratio sam je, ali zna zaspamat rafalno. Ostro kritizira, a to prihvacam samo uz potpis.
",Neg
"Sad kad ga susjedni kafic zajebe i pocne prodavati kapucino po 30
",Neg
"@mango_on_diet Pod tim mislim da je svjestan da je u krivu, ali mu ego ne može podnijeti ""poraz"".
",Neg
"Moj problem je sta uporno trazim razumijevanje i empatiju gdje ih nema. Problem drustva je sta je jako malo mjesta gdje ih ima.
",Neg
"imal kraja ovom ponedjeljku?
",Neg
"sudbina jednog od prvih olimpijskih bazena u bivšoj Jugoslaviji http://t.co/vVGQME6Hk1 kad će se i država privatizirati i zatoriti?
",Neg
"od cura sa dakfejsom gori su mi samo frajeri sa dakfejsom.
",Neg
"@CarMrznje @zorankrusvar ok sad me stvarno počelo bit strah, sad iz kuće neću izlazit
",Neg
"Sjaje mu oči.to je samo svijetlost koja prolazi kroz šuplju glavu
",Neg
"@Kjukar čisto sumnjam, već we pripremam iduci tjedan na čekanje u redu u mupu i na tehničkom
",Neg
"zar u popisu ima i pitanje o entitetskom državljanstvu, wtf? o.O
",Neg
"Kraj 1/3, rezultat 0:0. Obje momcadi su propustile realizirati svoju PP priliku. Nekoliko izglednih, nerealiziranig prilika na obje strane..
",Neg
"Kakav užas ovaj drupal to nemožeš vjerovat.
",Neg
"@GBranimir @ddakki Ali mislim kad netko ide glavom kroz zid onda nemozes tu nista. I taj nezna da ce mu skinut 15% na osig. i  vise ga kosta
",Neg
"ali problem je što hoću sve i odmah ja sam nezasitni ortak, perspektivan momak.
",Neg
"uh, one koji se pozivaju na obitelj i naciju najčešće zanima vlastiti džep. a narod, ko narod.
",Neg
"Kaos u Sarajevu: Policija tukla prosvjednike, ima ozlijeđenih http://t.co/mWYLNocl5g via @24sata_HR
",Neg
"Raja stenje, a političari žive u holivudskom stilu - Jutarnji.hr http://t.co/hDr6bWqfPw
",Neg
"ipak se ne prodaju karte u svim novim #zet tramvj, iluzija..
",Neg
"Pirotehničari u štrajku zbog smanjivanja plaća i materijalnih prava http://t.co/jvLwMwk7xU
",Neg
"Krađe po trgovinama - gorući problem Zemlje izlazećeg sunca http://t.co/68sFXYzEb6
",Neg
"@luvmusic87 A da...ima i prednosti i mana. Bit će...to si i ja govorim. Jednom...valjda...
",Neg
"@ImNotUrGuildie early access je poput izbora djevojke u javnoj kući - daš lovu prema vizualnoj procijeni, a ne znaš što ćeš zapravo dobiti.
",Neg
"Trener koprivničkog Slaven Belupa Ivan Katalinić pao je na testu iz respekta prema legendama. Deset dana uoči ... http://t.co/ADTVr2g4TQ
",Neg
"U ponedjeljak, 1. srpnja u jutarnjim satima, u Mihanovićevoj ulici u Ivancu, dvojica nepoznatih muškaraca ušla... http://t.co/pCx3rf7O88
",Neg
"Prema međimurskoj policije dijete je sudjelovalo u četiri krađe... http://t.co/h6FVckLTG8
",Neg
"Hitna pomoć zbog vrućina intervenirala i do 50 posto više... http://t.co/ZwetN0rH3u
",Neg
"Glumci su sletjeli s ceste, a Matavulj nije teže ozlijeđen http://t.co/IVhlZJznVY
",Neg
"Jučer u poslijepodnevnim satima u Svibovečkoj ulici u Varaždinu ukradeno je više komada zlatnog nakita, izvije... http://t.co/aEyTLJ9fpQ
",Neg
"U nedjelju 22. prosinca, podijeljeno je 63 paketića darova za djecu s područja naselja Krč. Podijelu darova or... http://t.co/XP0P3oTXg3
",Neg
"Dakle ona ima 14.000 kuna plaće ali štrajka. Mrš gamad! Ova Hrvatska je u kurcu totalno!
",Neg
"Placem malo i ja na yutjub videe di ameri placu nakon sto otpjevaju tuznu pjesmu pred žirijem koji isto place
",Neg
"Ljudi koji povezu sve akauntove pa jedna objava ide i na tw i fb i last.fm i myspace.
",Neg
"pa zar ti to zoveš ljubav reci mi,gdje si vidjela ženo i ko ti je rek'o
",Neg
"navodni hadezeovac Kalem poznat kao vrsni kopač - nosa. čovjek tijekom poslovnog razgovora mrtav hladan zna zalijepiti nosno govance.
",Neg
"francuski predsjednik ipak ne može doći na proslavu ulaska u EU jer zaljeva rožice susjedu koji je na godišnjem.
",Neg
"puno puta smo (olako) ulazili. pa smo vrlo bolno izlazili.
",Neg
"@malimujo imam i ja mnoge sastanke. često s političarima koji vode grad i zemlju. ali me Učitelj naučio da živciranjem samo gubim.
",Neg
"ili pak prođite do naših beskućnika, nezbrinute djece i svih onih koji kopajući po kantama za smeće traže kruh svoj nasušni.
",Neg
"@Hrvoje_Ri ne znam. jučer sam bio u 17h, rade do 18h, pa mi ovo bilo fora. uz naljepnicu ""tu smo za vas"", zahtijevaju tišinu s uskličnicima.
",Neg
"Glupo je davati 100% sebe u bilo sta. Ljudi to pocnu uzimati zdravo za gotovo.
",Neg
"Nije istina da ljudi ne znaju reći hvala. I nije njihov problem što im umjesto hvala  iz usta izađe 'mrš u p.... materinu'.
",Neg
"Samo dva sata rada umjesto jednog dana iza rešetaka?! http://t.co/LF0NlSzHGx
",Neg
"S posla na groblje: Za punu mirovinu 67 godina života ili 41 radnog staža http://t.co/619dUYeC0i
",Neg
"Vikend-naselje u Aljmašu odsječeno od kopna, Drava poplavila lijevu obalu http://t.co/r7LHUvntkf
",Neg
"Nema generalne revizije braniteljskih invalidskih mirovina - samo sumnjivih http://t.co/MTLHh06HAS
",Neg
"Sudac Vučkov poručio Rupniku: Trebate ispasti u Drugu ligu http://t.co/uYaYenRCKt
",Neg
"Unatoč obećanju, besplatni udžbenici samo za prvašiće http://t.co/WEX9nP38QM
",Neg
"@baky mijenjam retoriku,ne mogu ulaziti u diskurs s nekim tko smatra da jednakost ljudi nije bitna,fašisti su s razlogom dobili metak u čelo
",Neg
"jednog zaveo kapitalizam pa odlucio kupiti onaj zvakaca guma na skoljki miris za wc.
",Neg
"@narausredini Portiri... Oni znaju. Nema tu o ponedjeljcima, vremenu i ostalim glupostima. Oni direktno na politiku i rušenje sistema.
",Neg
"@markobozac vijest je sto je jos uvijek na listi ;/
",Neg
"U šumi kod Kiseljaka nađena tijela dvojice muškaraca, policija traga za ubojicom http://t.co/rESfFNRJSF
",Neg
"Neum: Policajac iz revolta pucao iz službenog pištolja u stanici http://t.co/E9g73GJzY4
",Neg
"@diesel_RI @SleepingSun7 Međutim, zbog određenih financijskih poteškoća TV kuće neki prijenosi nisu realizirani na što mi ne možemo utjecati
",Neg
"@against_flow Već smo proslijedili sve izvođaču radova, nažalost još nismo dobili odgovor. Poslat ćemo opet.
",Neg
"realno, ""nisam ni ja za vezu s njim"" tako da me jedino vrijeđa moje potrošeno vrijeme u samozavaravanju da je sve to slatko
",Neg
"Poznajem previše studenata medicine, i svako malo dok pričaju želim promjeniti faks. renesansni tip, god damn.
",Neg
"evo sjedim na nekoj klupi baba čita 24 sata, ja neku dobru knjigu o urbanizmu, mislim si BABO NIJE KASNO DA KORISTIŠ SIVE TVARI
",Neg
"zadržavanje ne dolazi u obzir, nije moja kuća niti vrt, a vlasnik je strogo protiv :/
",Neg
"zašto imam tako visoke kriterije kad vidim da mi to škodi?
",Neg
"sva ta masa ljudi koja čeka poruke od ljudi koji također čekaju poruke
",Neg
"čekam od 7 jer ambulanta radi od 8, doktor komotno dolazi u 9, ne zaslužuju što traže
",Neg
"a žalit ćemo još dugo za onim što je moglo da bude,kada jednom svemu dođe kraj...
",Neg
"Zašto je toliko teško odjebati sve i otići po bolje, a nije nam teško prilagođavati se ovom pokvarenom sistemu svaki dan.
",Neg
"Izabranici Ivice Vranješa okončali su svoj nastup u Sarajevu, porazom od Portugala 1:0. http://t.co/sVY9Tq7D3I
",Neg
"Sad sam ja već unaprijed tužna.
",Neg
"@bulja1 susjedi bude mene :) i dolaze mi pod prozor u 1 u noci....
",Neg
"@TrenutakHr sredstvo za prezivljavanje...u nekim hrvatskim generacijskim krugovima malo i precijenjen..
",Neg
"Nije me dugo bilo sa #uletiuprazno...evo jedan današnji...""nutelom ću ti namazati taj  radoznali nosić"" ..zaboga miloga! somebody shoot me!
",Neg
"#onokad je nas 5 na razmaku od 6 metara, a komuniciramo mailom
",Neg
"Dok shvatiš da te ne razočaraju ljudi nego vlastita očekivanja, prođe ti život.
",Neg
"Kad prava ljubav jednom zakasni, druge nece doci nikada... Dala bih mu srce svoje, neka ima srca dva,  samo kada... http://t.co/75qaDNjgc2
",Neg
"""Počni cijeniti ono što imaš jer nikada nećeš biti sretan ako budeš gledao u daljine dok ti se sreća nalazi ispred nosa.''
",Neg
"Ako voliš nekog zbog ljepote, to nije ljubav, to je želja. Ako voliš nekog zbog inteligencije, to nije ljubav, to... http://t.co/rlDfPAeOKV
",Neg
